userid,movieid,rating,predict,miss
31,1197,5.0,4.8,0.2
31,1198,4.0,4.8,0.8
31,1199,3.0,4.1,1.1
32,858,5.0,3.6,1.4
35,1196,4.5,4.2,0.3
35,1197,5.0,5.0,0.0
35,1198,4.5,5.3,0.8
36,592,3.0,4.0,1.0
36,595,4.0,4.2,0.2
37,1095,4.5,3.6,0.9
37,1178,4.0,2.9,1.1
37,1193,4.0,4.6,0.6
37,1196,4.0,2.9,1.1
37,1197,4.0,3.7,0.3
37,1199,5.0,4.4,0.6
38,1090,3.5,3.3,0.2
38,1097,4.0,3.1,0.9
38,1127,3.5,4.4,0.9
38,1128,4.0,4.1,0.1
38,1129,4.5,2.4,2.1
38,1130,3.0,3.2,0.2
38,1148,2.5,3.0,0.5
38,1168,1.0,3.4,2.4
38,1196,5.0,2.9,2.1
38,1197,5.0,5.1,0.1
39,829,0.5,4.4,3.9
40,1136,3.0,3.4,0.4
40,1188,4.0,2.0,2.0
40,1196,3.0,3.2,0.2
40,1197,5.0,3.4,1.6
41,1197,4.5,4.0,0.5
42,786,5.0,4.4,0.6
42,832,5.0,4.5,0.5
42,836,3.0,4.4,1.4
42,1004,4.0,3.8,0.2
42,1183,4.0,4.4,0.4
44,1127,4.0,3.2,0.8
45,1196,2.0,2.6,0.6
45,1197,2.0,3.6,1.6
45,1198,2.5,3.6,1.1
45,1199,3.0,4.3,1.3
46,1175,4.0,4.4,0.4
46,1179,4.0,3.9,0.1
46,1183,3.5,3.7,0.2
46,1185,5.0,4.3,0.7
46,1190,3.5,3.8,0.3
46,1193,4.5,3.5,1.0
46,1196,4.0,3.0,1.0
46,1199,4.0,3.8,0.2
48,1171,5.0,4.2,0.8
48,1173,2.0,2.9,0.9
48,1188,4.0,1.8,2.2
48,1194,2.0,4.5,2.5
48,1196,3.0,3.0,0.0
48,1197,4.0,3.1,0.9
48,1199,2.0,3.7,1.7
49,1136,3.5,4.7,1.2
49,1193,2.5,3.5,1.0
49,1196,1.0,3.3,2.3
49,1198,4.0,5.2,1.2
50,589,4.0,3.2,0.8
50,590,4.0,3.8,0.2
50,592,3.0,3.5,0.5
50,595,3.0,2.7,0.3
50,597,4.0,2.8,1.2
